Name,Country,Field of Expertise,IQ,Achievements,Birth Year,Gender,Notable Works,Awards,Education,Influence
Carl Sagan,USA,Engineering,194,Theory of Evolution,1923,Female,Dirac Equation,Nobel Prize,Ph.D. in Mathematics,Early pioneer of computer science
Galileo Galilei,Denmark,Physics,143,"AC Electricity, Tesla Coil",1913,Male,Fermi Paradox,N/A,Self-taught,Major advancements in astronomy
Charles Darwin,UK,Mathematics,167,General Theory of Relativity,1986,Female,E=mc²,Pulitzer Prize,University of Cambridge,Foundational work in quantum mechanics
Marie Curie,UK,Physics,182,Electromagnetic Theory,1963,Male,Bohr Model,N/A,Ph.D. in Physics,Laid the groundwork for modern computing
Charles Darwin,Denmark,Mathematics,148,Quantum Mechanics,1968,Male,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Physics,Revolutionized modern physics
Isaac Newton,Italy,Physics,177,General Theory of Relativity,1954,Female,Vitruvian Man,N/A,University of Pisa,Early pioneer of computer science
Ada Lovelace,USA,Biology,200,"AC Electricity, Tesla Coil",1973,Male,Research on radioactivity,N/A,University of Pisa,Evolutionary biology pioneer
Albert Einstein,UK,Astronomy,156,Electromagnetic Induction,1967,Female,Various Patents,N/A,University of Pisa,Contributions to cosmology and quantum gravity
Erwin Schrödinger,USA,Astronomy,154,Wave Equation,1954,Female,Quantum Theory,N/A,Self-taught,Foundational work in quantum mechanics
Isaac Newton,UK,Mathematics,171,Theory of Evolution,1970,Male,Discovery of Electromagnetic Induction,N/A,Ph.D. in Mathematics,Wave mechanics in quantum physics
Roger Penrose,UK,Physics,183,Laws of Motion,1981,Female,Bohr Model,N/A,Ph.D. in Physics,Early pioneer of computer science
Nikola Tesla,UK,Chemistry,172,General Theory of Relativity,1950,Male,Fermi Paradox,Nobel Prize,University of Cambridge,Iconic Renaissance artist and inventor
Erwin Schrödinger,UK,Astronomy,186,Theory of Evolution,1995,Male,A Brief History of Time,Pulitzer Prize,Ph.D. in Physics,Discovery of electromagnetic induction
Charles Darwin,UK,Astronomy,200,Heliocentric Theory,1944,Female,Schrödinger Equation,Nobel Prize,Ph.D. in Astronomy,Quantum electrodynamics and physics teaching
Erwin Schrödinger,USA,Physics,152,Laws of Motion,1953,Male,Research on radioactivity,Numerous Posthumous,Ph.D. in Physics,Foundational work in quantum mechanics
Max Planck,UK,Physics,145,Heliocentric Theory,1969,Male,Cosmos,N/A,Ph.D. in Mathematics,Major advancements in astronomy
Galileo Galilei,USA,Mathematics,189,Quantum Electrodynamics,1972,Male,Research on radioactivity,N/A,Ph.D. in Mathematics,Wave mechanics in quantum physics
Isaac Newton,UK,Engineering,162,Electromagnetic Theory,1949,Female,Philosophiæ Naturalis Principia Mathematica,N/A,Self-taught,Discovery of electromagnetic induction
Albert Einstein,Italy,Physics,158,General Theory of Relativity,1918,Male,Quantum Theory,Numerous Honors,Ph.D. in Astronomy,Wave mechanics in quantum physics
Erwin Schrödinger,UK,Physics,137,"Mona Lisa, The Last Supper, Inventions",1968,Male,Dirac Equation,Nobel Prize,Ph.D. in Physics,Wave mechanics in quantum physics
Max Planck,USA,Engineering,162,"AC Electricity, Tesla Coil",1934,Female,Notes on the Analytical Engine,N/A,Ph.D. in Physics,Revolutionized modern physics
James Clerk Maxwell,USA,Chemistry,131,Theory of Evolution,1903,Female,Cosmos,N/A,Ph.D. in Physics,Revolutionized modern physics
Albert Einstein,USA,Physics,165,Heliocentric Theory,1940,Male,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. in Physics,Early pioneer of computer science
Ada Lovelace,USA,Chemistry,197,Father of Computer Science,1959,Female,Quantum Theory,N/A,Ph.D. in Physics,Laid the groundwork for modern computing
Richard Feynman,USA,Physics,134,Discovery of Radium and Polonium,1962,Male,Schrödinger Equation,Numerous Honors,Ph.D.,Wave mechanics in quantum physics
Richard Feynman,Italy,Mathematics,180,"Mona Lisa, The Last Supper, Inventions",1973,Male,Cosmos,Two Nobel Prizes,Ph.D. in Mathematics,Quantum electrodynamics and physics teaching
Leonardo da Vinci,Italy,Astronomy,130,Electromagnetic Theory,1924,Male,Fermi Paradox,N/A,Ph.D. in Mathematics,Foundational work in quantum mechanics
Enrico Fermi,Italy,Physics,156,Laws of Motion,1941,Male,Penrose Diagram,N/A,Ph.D. in Physics,Early pioneer of computer science
Roger Penrose,UK,Mathematics,193,Quantum Electrodynamics,1953,Female,Discovery of Electromagnetic Induction,N/A,Self-taught,Inventor and electrical engineering pioneer
Leonardo da Vinci,USA,Chemistry,196,Wave Equation,1917,Male,Feynman Lectures,Nobel Prize,Ph.D. in Mathematics,Pioneering research in radioactivity
Leonardo da Vinci,UK,Mathematics,158,Theory of Evolution,1939,Female,Bohr Model,Numerous Honors,Ph.D. in Chemistry,Discovery of electromagnetic induction
Michael Faraday,UK,Biology,188,Quantum Electrodynamics,1911,Female,Dirac Equation,Pulitzer Prize,Ph.D. in Mathematics,Major advancements in astronomy
Galileo Galilei,Italy,Polymath,178,Electromagnetic Induction,1941,Male,Notes on the Analytical Engine,N/A,Ph.D. in Chemistry,Laid the groundwork for modern computing
Carl Sagan,UK,Chemistry,175,Theory of Evolution,1946,Female,On Computable Numbers,N/A,Ph.D. in Chemistry,Wave mechanics in quantum physics
Ada Lovelace,USA,Physics,136,Cosmos Series,1949,Male,Quantum Theory,Two Nobel Prizes,Self-taught,Unified theory of electromagnetism
Max Planck,UK,Physics,199,Quantum Mechanics,1931,Female,Cosmos,Nobel Prize,Self-taught,Inventor and electrical engineering pioneer
Erwin Schrödinger,UK,Astronomy,165,Father of Computer Science,1957,Female,Philosophiæ Naturalis Principia Mathematica,Numerous Honors,Ph.D. (honorary),Revolutionized modern physics
Albert Einstein,UK,Physics,146,Electromagnetic Induction,1943,Male,Fermi Paradox,Nobel Prize,University of Cambridge,Unified theory of electromagnetism
Nikola Tesla,USA,Polymath,196,Quantum Theory,1999,Male,Schrödinger Equation,Nobel Prize,Ph.D.,Quantum electrodynamics and physics teaching
Leonardo da Vinci,UK,Mathematics,165,Theory of Relativity,1984,Male,Philosophiæ Naturalis Principia Mathematica,Numerous Posthumous,Self-taught,Foundational work in quantum mechanics
Albert Einstein,UK,Astronomy,134,General Theory of Relativity,1905,Female,On the Origin of Species,Nobel Prize,Self-taught,Contributions to cosmology and quantum gravity
Marie Curie,Germany,Physics,165,Laws of Motion,1956,Female,Bohr Model,N/A,Ph.D. in Mathematics,Pioneering research in radioactivity
James Clerk Maxwell,UK,Chemistry,182,"AC Electricity, Tesla Coil",1964,Male,Vitruvian Man,N/A,Ph.D. in Physics,Revolutionized modern physics
Nikola Tesla,Italy,Mathematics,158,Father of Computer Science,1962,Male,Vitruvian Man,Nobel Prize,University of Pisa,Developed quantum theory
Isaac Newton,Italy,Physics,185,Theory of Evolution,1954,Male,Fermi Paradox,Nobel Prize,Ph.D. in Physics,Laid the groundwork for modern computing
Alan Turing,USA,Mathematics,148,Quantum Mechanics,1916,Female,Dirac Equation,Nobel Prize,Ph.D. in Mathematics,Nuclear physics and reactor development
Ada Lovelace,Austria,Physics,130,First computer algorithm,1924,Male,Research on radioactivity,Royal Medal,University of Cambridge,Popularizing science and cosmology
Nikola Tesla,Italy,Mathematics,198,Discovery of Radium and Polonium,2000,Male,On Computable Numbers,N/A,Ph.D.,Evolutionary biology pioneer
Marie Curie,UK,Mathematics,147,Discovery of Radium and Polonium,1959,Male,Feynman Lectures,Nobel Prize,Ph.D. in Chemistry,Major advancements in astronomy
Marie Curie,USA,Mathematics,142,Father of Computer Science,1952,Male,Penrose Diagram,Nobel Prize,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Alan Turing,USA,Chemistry,156,Father of Computer Science,1997,Male,Vitruvian Man,N/A,Ph.D. in Physics,Revolutionized modern physics
Niels Bohr,Germany,Physics,185,Electromagnetic Theory,1911,Male,Cosmos,Numerous Honors,Ph.D. in Astronomy,Laid the groundwork for modern computing
Stephen Hawking,Italy,Physics,161,Electromagnetic Induction,1932,Male,On Computable Numbers,Nobel Prize,Ph.D. in Physics,Unified theory of electromagnetism
James Clerk Maxwell,Italy,Chemistry,159,Quantum Mechanics,1966,Female,Research on radioactivity,Numerous Honors,Ph.D. (honorary),Laid the groundwork for modern computing
Roger Penrose,Austria,Physics,187,First computer algorithm,1970,Male,Notes on the Analytical Engine,Nobel Prize,Ph.D. in Mathematics,Developed quantum theory
Michael Faraday,UK,Physics,144,"Mona Lisa, The Last Supper, Inventions",1943,Male,Notes on the Analytical Engine,Nobel Prize,Ph.D. in Physics,Early pioneer of computer science
Isaac Newton,Austria,Physics,181,Theory of Evolution,1935,Female,Bohr Model,Numerous Posthumous,Ph.D. in Physics,Wave mechanics in quantum physics
Ada Lovelace,UK,Astronomy,186,Theory of Evolution,1963,Male,Dirac Equation,Nobel Prize,Ph.D. in Physics,Revolutionized modern physics
Marie Curie,UK,Polymath,191,Cosmos Series,1927,Female,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Chemistry,Wave mechanics in quantum physics
Roger Penrose,Italy,Mathematics,170,Electromagnetic Induction,1967,Female,Fermi Paradox,Nobel Prize,University of Cambridge,Iconic Renaissance artist and inventor
Alan Turing,UK,Physics,146,Black Hole Theory,1974,Male,A Brief History of Time,Two Nobel Prizes,Ph.D. in Astronomy,Iconic Renaissance artist and inventor
Albert Einstein,UK,Physics,181,Electromagnetic Induction,1988,Female,Various Patents,Numerous Honors,Ph.D.,Revolutionized modern physics
Roger Penrose,UK,Polymath,175,Wave Equation,1939,Female,A Brief History of Time,Nobel Prize,University of Pisa,Laid the groundwork for modern computing
Erwin Schrödinger,UK,Engineering,180,Quantum Theory,1902,Male,Quantum Theory,N/A,Self-taught,Inventor and electrical engineering pioneer
Max Planck,France,Physics,183,General Theory of Relativity,1937,Female,Fermi Paradox,Nobel Prize,Ph.D. in Physics,Evolutionary biology pioneer
Isaac Newton,France,Biology,186,Electromagnetic Theory,1959,Female,Research on radioactivity,Nobel Prize,Ph.D. in Mathematics,Foundation of classical mechanics
Carl Sagan,France,Physics,198,Quantum Mechanics,1984,Male,E=mc²,Copley Medal,Ph.D. in Mathematics,Quantum electrodynamics and physics teaching
Isaac Newton,France,Physics,162,Black Hole Theory,1933,Male,On the Origin of Species,Nobel Prize,Ph.D. in Physics,Foundational work in quantum mechanics
Erwin Schrödinger,Italy,Polymath,135,Discovery of Radium and Polonium,1945,Male,Schrödinger Equation,Nobel Prize,Ph.D. in Physics,Major advancements in astronomy
Niels Bohr,USA,Physics,171,Heliocentric Theory,1953,Male,Fermi Paradox,Numerous Posthumous,Ph.D. in Mathematics,Discovery of electromagnetic induction
Enrico Fermi,UK,Physics,145,Quantum Mechanics,1974,Male,Schrödinger Equation,N/A,Self-taught,Foundational work in quantum mechanics
Richard Feynman,USA,Mathematics,131,Electromagnetic Theory,1988,Male,Bohr Model,Copley Medal,Ph.D. in Chemistry,Laid the groundwork for modern computing
Alan Turing,USA,Physics,167,Quantum Electrodynamics,1981,Female,Schrödinger Equation,Numerous Posthumous,University of Cambridge,Evolutionary biology pioneer
Leonardo da Vinci,Italy,Physics,169,Discovery of Radium and Polonium,1979,Female,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Physics,Unified theory of electromagnetism
Leonardo da Vinci,USA,Mathematics,159,Quantum Mechanics,1982,Male,Schrödinger Equation,Pulitzer Prize,Ph.D. in Physics,Developed quantum theory
Erwin Schrödinger,Denmark,Engineering,138,Quantum Mechanics,1995,Male,Dirac Equation,N/A,University of Cambridge,Iconic Renaissance artist and inventor
Stephen Hawking,Italy,Physics,151,Quantum Mechanics,1974,Male,Discovery of Electromagnetic Induction,Pulitzer Prize,Ph.D. in Physics,Unified theory of electromagnetism
Richard Feynman,UK,Engineering,176,Theory of Evolution,1934,Male,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Chemistry,Laid the groundwork for modern computing
Enrico Fermi,UK,Physics,183,Quantum Mechanics,1938,Male,Fermi Paradox,Numerous Posthumous,Ph.D. in Physics,Evolutionary biology pioneer
Michael Faraday,UK,Mathematics,177,Quantum Theory,1977,Male,Dirac Equation,Royal Medal,Ph.D. in Physics,Iconic Renaissance artist and inventor
Erwin Schrödinger,Austria,Physics,176,"AC Electricity, Tesla Coil",1951,Female,Vitruvian Man,Copley Medal,Self-taught,Early pioneer of computer science
Stephen Hawking,UK,Physics,181,Theory of Evolution,1931,Female,Cosmos,Nobel Prize,Ph.D. (honorary),Penrose's work on black holes and cosmology
Richard Feynman,UK,Astronomy,143,Theory of Relativity,1910,Male,Notes on the Analytical Engine,N/A,Self-taught,Contributions to cosmology and quantum gravity
Enrico Fermi,Italy,Astronomy,200,Discovery of Radium and Polonium,1953,Male,Dirac Equation,Nobel Prize,Self-taught,Foundational work in quantum mechanics
Erwin Schrödinger,UK,Mathematics,181,Heliocentric Theory,1978,Female,On the Origin of Species,Nobel Prize,Ph.D. in Physics,Developed quantum theory
Richard Feynman,UK,Chemistry,185,Theory of Relativity,1960,Female,On Computable Numbers,Royal Medal,Ph.D. in Mathematics,Quantum electrodynamics and physics teaching
Alan Turing,Austria,Physics,131,First computer algorithm,1943,Female,Theory of Electromagnetism,Nobel Prize,Ph.D. in Mathematics,Wave mechanics in quantum physics
Michael Faraday,Germany,Polymath,178,General Theory of Relativity,1965,Male,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. in Physics,Inventor and electrical engineering pioneer
Max Planck,Denmark,Biology,131,Laws of Motion,1987,Male,Philosophiæ Naturalis Principia Mathematica,Pulitzer Prize,Ph.D. in Physics,Nuclear physics and reactor development
Nikola Tesla,France,Physics,139,First computer algorithm,1940,Female,Theory of Electromagnetism,Nobel Prize,Ph.D. in Mathematics,Discovery of electromagnetic induction
Carl Sagan,UK,Mathematics,193,Discovery of Radium and Polonium,1988,Male,Theory of Electromagnetism,N/A,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Alan Turing,UK,Mathematics,181,Quantum Theory,1977,Male,A Brief History of Time,Copley Medal,Self-taught,Foundational work in quantum mechanics
Isaac Newton,UK,Chemistry,130,Cosmos Series,1989,Female,A Brief History of Time,Nobel Prize,Ph.D. in Mathematics,Discovery of electromagnetic induction
Ada Lovelace,USA,Physics,171,Electromagnetic Theory,1934,Male,Schrödinger Equation,N/A,Ph.D. (honorary),Evolutionary biology pioneer
Paul Dirac,Denmark,Mathematics,167,Quantum Mechanics,1982,Male,Notes on the Analytical Engine,Copley Medal,Ph.D. in Chemistry,Foundational work in quantum mechanics
Paul Dirac,UK,Astronomy,132,Discovery of Radium and Polonium,1955,Male,Penrose Diagram,Numerous Posthumous,Ph.D. in Mathematics,Iconic Renaissance artist and inventor
Nikola Tesla,Germany,Mathematics,166,General Theory of Relativity,1934,Male,Quantum Theory,Numerous Honors,Ph.D. in Physics,Developed quantum theory
Paul Dirac,UK,Astronomy,142,Quantum Electrodynamics,1928,Female,E=mc²,Nobel Prize,Ph.D. in Physics,Foundation of classical mechanics
Charles Darwin,UK,Polymath,158,Father of Computer Science,1908,Male,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Astronomy,Laid the groundwork for modern computing
Max Planck,UK,Polymath,192,Quantum Electrodynamics,1985,Female,Fermi Paradox,N/A,Ph.D. in Astronomy,Nuclear physics and reactor development
Niels Bohr,UK,Mathematics,143,Quantum Mechanics,1983,Female,On the Origin of Species,N/A,Self-taught,Revolutionized modern physics
Albert Einstein,UK,Astronomy,143,Cosmos Series,1959,Male,Fermi Paradox,Nobel Prize,Ph.D. in Chemistry,Major advancements in astronomy
Galileo Galilei,Germany,Physics,173,Quantum Mechanics,1980,Male,Dirac Equation,Two Nobel Prizes,Self-taught,Discovery of electromagnetic induction
Alan Turing,UK,Physics,137,Cosmos Series,1924,Male,Quantum Theory,N/A,Ph.D. (honorary),Laid the groundwork for modern computing
Alan Turing,Germany,Chemistry,135,Quantum Mechanics,1908,Female,Feynman Lectures,Nobel Prize,University of Cambridge,Nuclear physics and reactor development
Ada Lovelace,UK,Physics,161,Electromagnetic Theory,1928,Female,Philosophiæ Naturalis Principia Mathematica,Numerous Honors,Ph.D. in Astronomy,Popularizing science and cosmology
Alan Turing,UK,Physics,200,Electromagnetic Theory,1922,Female,Schrödinger Equation,Nobel Prize,University of Pisa,Penrose's work on black holes and cosmology
Galileo Galilei,Denmark,Physics,153,Wave Equation,1941,Female,Various Patents,Numerous Honors,Ph.D. in Physics,Evolutionary biology pioneer
Carl Sagan,USA,Physics,179,Quantum Mechanics,1995,Male,Dirac Equation,Nobel Prize,Self-taught,Penrose's work on black holes and cosmology
James Clerk Maxwell,Italy,Physics,157,Black Hole Theory,1980,Male,Schrödinger Equation,N/A,Ph.D. in Mathematics,Inventor and electrical engineering pioneer
Charles Darwin,UK,Physics,165,"AC Electricity, Tesla Coil",1953,Male,A Brief History of Time,Nobel Prize,Ph.D. in Physics,Pioneering research in radioactivity
Stephen Hawking,USA,Physics,189,Quantum Electrodynamics,1992,Male,On Computable Numbers,Nobel Prize,Ph.D. in Mathematics,Popularizing science and cosmology
Isaac Newton,Italy,Physics,190,Nuclear Reactor,1931,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Self-taught,Foundational work in quantum mechanics
Isaac Newton,UK,Biology,190,Theory of Evolution,1932,Female,Dirac Equation,Nobel Prize,Ph.D.,Foundation of classical mechanics
Erwin Schrödinger,UK,Engineering,169,Theory of Relativity,1926,Male,Dirac Equation,Nobel Prize,Self-taught,Developed quantum theory
Niels Bohr,UK,Chemistry,171,"Mona Lisa, The Last Supper, Inventions",1974,Female,Bohr Model,N/A,Ph.D. in Mathematics,Pioneering research in radioactivity
Albert Einstein,USA,Physics,181,Cosmos Series,1960,Male,Discovery of Electromagnetic Induction,Nobel Prize,Self-taught,Wave mechanics in quantum physics
Charles Darwin,Italy,Biology,164,Quantum Mechanics,1939,Male,Bohr Model,N/A,Self-taught,Wave mechanics in quantum physics
Max Planck,UK,Chemistry,182,Black Hole Theory,1914,Male,Penrose Diagram,Nobel Prize,Ph.D. in Mathematics,Developed quantum theory
Max Planck,UK,Mathematics,197,Heliocentric Theory,1966,Male,Bohr Model,Royal Medal,Ph.D. in Mathematics,Inventor and electrical engineering pioneer
Albert Einstein,France,Mathematics,178,Quantum Mechanics,1900,Male,Quantum Theory,N/A,Self-taught,Popularizing science and cosmology
Alan Turing,USA,Physics,130,Electromagnetic Theory,1953,Male,Discovery of Electromagnetic Induction,Copley Medal,Ph.D. in Physics,Developed quantum theory
Isaac Newton,France,Mathematics,185,Electromagnetic Induction,1916,Male,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Physics,Penrose's work on black holes and cosmology
Michael Faraday,UK,Mathematics,184,"AC Electricity, Tesla Coil",1993,Female,Research on radioactivity,N/A,Ph.D. in Mathematics,Penrose's work on black holes and cosmology
Stephen Hawking,UK,Mathematics,136,"AC Electricity, Tesla Coil",1968,Female,Dialogue Concerning the Two Chief World Systems,Numerous Posthumous,Ph.D.,Revolutionized modern physics
Niels Bohr,UK,Polymath,154,Discovery of Radium and Polonium,1925,Female,Discovery of Electromagnetic Induction,Numerous Honors,Ph.D. in Physics,Discovery of electromagnetic induction
Enrico Fermi,Italy,Mathematics,153,Laws of Motion,1950,Male,Theory of Electromagnetism,N/A,Ph.D. in Physics,Developed quantum theory
Albert Einstein,UK,Astronomy,189,Black Hole Theory,1928,Male,On the Origin of Species,Nobel Prize,Ph.D. in Physics,Foundational work in quantum mechanics
Richard Feynman,USA,Physics,141,First computer algorithm,1989,Female,Penrose Diagram,Nobel Prize,Self-taught,Laid the groundwork for modern computing
Niels Bohr,UK,Physics,137,Discovery of Radium and Polonium,1960,Male,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Physics,Foundational work in quantum mechanics
Charles Darwin,UK,Astronomy,151,General Theory of Relativity,1909,Male,Fermi Paradox,N/A,Ph.D. in Physics,Popularizing science and cosmology
Ada Lovelace,UK,Physics,153,Quantum Electrodynamics,1981,Female,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Physics,Foundation of classical mechanics
Niels Bohr,UK,Biology,196,"Mona Lisa, The Last Supper, Inventions",1991,Male,Research on radioactivity,Numerous Posthumous,Self-taught,Unified theory of electromagnetism
Max Planck,UK,Astronomy,151,Heliocentric Theory,1934,Male,E=mc²,Numerous Posthumous,Ph.D. in Physics,Early pioneer of computer science
Alan Turing,USA,Chemistry,178,Cosmos Series,1993,Female,Fermi Paradox,Nobel Prize,Ph.D. in Physics,Laid the groundwork for modern computing
Enrico Fermi,UK,Astronomy,172,Quantum Electrodynamics,1942,Female,Vitruvian Man,Two Nobel Prizes,Self-taught,Foundation of classical mechanics
Max Planck,UK,Physics,158,Quantum Theory,1924,Male,E=mc²,Nobel Prize,Ph.D. in Physics,Foundation of classical mechanics
Niels Bohr,Austria,Chemistry,182,Heliocentric Theory,1998,Male,Cosmos,Nobel Prize,Ph.D.,Foundational work in quantum mechanics
Charles Darwin,UK,Polymath,180,Quantum Theory,1927,Male,Dirac Equation,N/A,Ph.D. in Physics,Iconic Renaissance artist and inventor
Alan Turing,USA,Biology,135,Nuclear Reactor,2000,Male,Quantum Theory,N/A,Ph.D. in Physics,Unified theory of electromagnetism
Michael Faraday,Italy,Physics,199,Theory of Evolution,1948,Male,Vitruvian Man,N/A,Ph.D. in Physics,Inventor and electrical engineering pioneer
Niels Bohr,UK,Mathematics,142,Quantum Theory,1921,Female,Discovery of Electromagnetic Induction,Nobel Prize,Self-taught,Laid the groundwork for modern computing
Isaac Newton,Denmark,Engineering,167,Wave Equation,1985,Male,Fermi Paradox,Nobel Prize,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Nikola Tesla,UK,Chemistry,153,Wave Equation,1932,Male,Cosmos,Numerous Honors,Ph.D. in Astronomy,Inventor and electrical engineering pioneer
Michael Faraday,UK,Mathematics,170,Theory of Relativity,1949,Male,Research on radioactivity,N/A,Self-taught,Evolutionary biology pioneer
Stephen Hawking,UK,Physics,174,Heliocentric Theory,1942,Male,Cosmos,Pulitzer Prize,Self-taught,Pioneering research in radioactivity
Niels Bohr,Italy,Biology,130,Discovery of Radium and Polonium,1989,Male,Various Patents,Copley Medal,Ph.D. in Chemistry,Evolutionary biology pioneer
Michael Faraday,Denmark,Polymath,199,Theory of Evolution,1912,Male,Research on radioactivity,N/A,Ph.D. in Physics,Discovery of electromagnetic induction
Isaac Newton,Italy,Physics,149,"AC Electricity, Tesla Coil",1902,Female,Cosmos,Nobel Prize,Ph.D. in Mathematics,Major advancements in astronomy
Marie Curie,Italy,Physics,196,Discovery of Radium and Polonium,1929,Male,E=mc²,Nobel Prize,Ph.D. in Chemistry,Early pioneer of computer science
James Clerk Maxwell,UK,Polymath,177,Cosmos Series,1977,Female,On the Origin of Species,Nobel Prize,Ph.D. in Physics,Inventor and electrical engineering pioneer
Isaac Newton,UK,Mathematics,181,Quantum Theory,1965,Male,A Brief History of Time,Numerous Honors,Ph.D. in Mathematics,Nuclear physics and reactor development
Alan Turing,USA,Biology,159,Quantum Mechanics,1938,Female,Cosmos,N/A,Ph.D. in Physics,Discovery of electromagnetic induction
Michael Faraday,Italy,Mathematics,152,"Mona Lisa, The Last Supper, Inventions",1941,Male,Quantum Theory,N/A,Ph.D. in Chemistry,Foundation of classical mechanics
Alan Turing,Denmark,Physics,157,Quantum Electrodynamics,1945,Female,Cosmos,Nobel Prize,Ph.D. in Physics,Inventor and electrical engineering pioneer
Niels Bohr,Denmark,Chemistry,180,Laws of Motion,1902,Male,Cosmos,Nobel Prize,Ph.D. in Mathematics,Developed quantum theory
Erwin Schrödinger,France,Physics,152,"Mona Lisa, The Last Supper, Inventions",1910,Female,Quantum Theory,Royal Medal,Self-taught,Iconic Renaissance artist and inventor
Carl Sagan,USA,Chemistry,195,Heliocentric Theory,1983,Male,Theory of Electromagnetism,Copley Medal,Ph.D. in Chemistry,Foundational work in quantum mechanics
Enrico Fermi,UK,Physics,172,Father of Computer Science,1945,Female,Notes on the Analytical Engine,N/A,Ph.D. in Mathematics,Inventor and electrical engineering pioneer
Leonardo da Vinci,UK,Physics,139,Laws of Motion,1967,Male,Philosophiæ Naturalis Principia Mathematica,Two Nobel Prizes,Ph.D. in Chemistry,Penrose's work on black holes and cosmology
Isaac Newton,USA,Physics,157,Quantum Electrodynamics,2000,Male,Schrödinger Equation,Royal Medal,University of Pisa,Foundation of classical mechanics
Carl Sagan,Italy,Physics,174,Quantum Theory,1902,Female,Quantum Theory,Royal Medal,Ph.D. in Mathematics,Unified theory of electromagnetism
Alan Turing,UK,Biology,163,Black Hole Theory,1951,Female,On Computable Numbers,N/A,Self-taught,Major advancements in astronomy
Alan Turing,Italy,Engineering,133,Electromagnetic Induction,1917,Male,Theory of Electromagnetism,Nobel Prize,Ph.D. in Physics,Developed quantum theory
Nikola Tesla,Italy,Physics,181,Electromagnetic Theory,1924,Female,Various Patents,Two Nobel Prizes,Ph.D. in Mathematics,Foundation of classical mechanics
Nikola Tesla,Denmark,Biology,175,First computer algorithm,1977,Male,Discovery of Electromagnetic Induction,Two Nobel Prizes,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Erwin Schrödinger,France,Mathematics,184,Quantum Mechanics,1903,Female,Various Patents,Nobel Prize,Self-taught,Nuclear physics and reactor development
Erwin Schrödinger,France,Polymath,139,Theory of Evolution,1997,Female,Dirac Equation,N/A,Ph.D. in Astronomy,Unified theory of electromagnetism
Niels Bohr,USA,Mathematics,181,First computer algorithm,1919,Female,Quantum Theory,Copley Medal,Self-taught,Nuclear physics and reactor development
Albert Einstein,Austria,Physics,153,Cosmos Series,1945,Male,Schrödinger Equation,Royal Medal,Ph.D. in Chemistry,Revolutionized modern physics
Stephen Hawking,UK,Physics,146,Quantum Electrodynamics,1989,Female,Various Patents,N/A,Ph.D. (honorary),Contributions to cosmology and quantum gravity
Michael Faraday,Italy,Mathematics,147,Electromagnetic Theory,1928,Female,Discovery of Electromagnetic Induction,Numerous Honors,Ph.D. in Physics,Unified theory of electromagnetism
Max Planck,UK,Chemistry,198,General Theory of Relativity,1961,Male,Penrose Diagram,Nobel Prize,Ph.D. in Physics,Early pioneer of computer science
Alan Turing,Austria,Engineering,154,Father of Computer Science,1931,Female,Dirac Equation,Nobel Prize,Ph.D. in Mathematics,Pioneering research in radioactivity
Paul Dirac,UK,Physics,130,"AC Electricity, Tesla Coil",1983,Male,A Brief History of Time,Nobel Prize,Ph.D. in Physics,Popularizing science and cosmology
Isaac Newton,UK,Mathematics,165,Nuclear Reactor,1996,Male,Notes on the Analytical Engine,N/A,Self-taught,Evolutionary biology pioneer
Richard Feynman,USA,Physics,189,First computer algorithm,1963,Female,E=mc²,Two Nobel Prizes,Ph.D. in Mathematics,Popularizing science and cosmology
Michael Faraday,France,Mathematics,168,First computer algorithm,1993,Male,Various Patents,Nobel Prize,Ph.D.,Unified theory of electromagnetism
Isaac Newton,UK,Astronomy,195,Quantum Mechanics,1909,Male,On the Origin of Species,Nobel Prize,Self-taught,Developed quantum theory
Michael Faraday,UK,Biology,187,First computer algorithm,1922,Female,Quantum Theory,Nobel Prize,University of Cambridge,Pioneering research in radioactivity
Max Planck,France,Physics,144,"Mona Lisa, The Last Supper, Inventions",1912,Female,E=mc²,N/A,Ph.D. in Mathematics,Major advancements in astronomy
Richard Feynman,Italy,Astronomy,177,Discovery of Radium and Polonium,1993,Female,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Astronomy,Unified theory of electromagnetism
Max Planck,UK,Chemistry,175,Quantum Electrodynamics,1963,Male,Schrödinger Equation,N/A,Ph.D.,Discovery of electromagnetic induction
